eBird species code 2019,English name,scientific name,range,eBird species group
manrai1,Mangrove Rail,Rallus longirostris,,"Rails, Gallinules, and Allies"
manrai2,Mangrove Rail (Fonseca),Rallus longirostris berryorum,"Pacific coast of eastern El Salvador, Honduras, and northern Nicaragua; population in northwestern Costa Rica presumably also refers to this subspecies","Rails, Gallinules, and Allies"
manrew1,Manchurian Reed Warbler,Acrocephalus tangorum,N Manchuria; winters to s China and Thailand,Reed Warblers and Allies
manrob1,Mangrove Robin,Eopsaltria pulverulenta,,Australasian Robins
manshe,Manx Shearwater,Puffinus puffinus,Breeds n Atlantic; ranges to Argentina and s African waters,"Petrels, Shearwaters, and Diving-Petrels"
manspi1,Mantaro Spinetail (undescribed form),Synallaxis [undescribed Mantaro form],Andes of central Peru (Mantaro valley in Junin),Ovenbirds
mansun1,Maroon-naped Sunbird,Aethopyga guimarasensis,,Sunbirds and Spiderhunters
manswa1,Mangrove Swallow,Tachycineta albilinea,Lowlands of n Mexico to Panama,Martins and Swallows
mantho1,Mantaro Thornbird (undescribed form),Phacellodomus [undescribed form],Andes of central Peru (Mantaro valley in Junín),Ovenbirds
manuco1,manucode sp.,Phonygammus/Manucodia sp.,,Birds-of-Paradise
manvir1,Mangrove Vireo,Vireo pallens,,Vireos
manvir2,Mangrove Vireo (Southern Central America),Vireo pallens pallens,Mangroves of w Honduras to w Nicaragua and w Costa Rica,Vireos
manvir3,Mangrove Vireo (Northern Central America),Vireo pallens ochraceus/semiflavus,,Vireos
manvir4,Mangrove Vireo (West Mexico),Vireo pallens paluster,Mangroves of nw Mexico (extreme sw Sonora to Nayarit),Vireos
manwaa1,Manicore Warbling-Antbird,Hypocnemis rondoni,"south central Brazil, between the Madeira/Ji-Paraná rivers and the Aripuanã River",Antbirds
manwhi1,Mangrove Whistler,Pachycephala cinerea,"India to Myanmar, Andaman Is., Greater Sundas and Palawan",Whistlers and Allies
manwre1,Mantaro Wren (undescribed form),Pheugopedius [undescribed form],Andes of central Peru (Mantaro drainage in Junín and probaby Huancavelica),Wrens
mao1,Mao,Gymnomyza samoensis,"Samoa (Mts. of Savai'i, Upolu and Tutuila)",Honeyeaters
mapant1,Predicted Antwren,Herpsilochmus praedictus,"southwestern Amazonian Brazil (south of the Amazon, west of the Madeira River)",Antbirds
mapfly1,Madagascar Paradise-Flycatcher,Terpsiphone mutata,,Monarch Flycatchers
mapfly2,Mascarene Paradise-Flycatcher,Terpsiphone bourbonnensis,,Monarch Flycatchers
mapher1,Madagascar Pond-Heron,Ardeola idae,Madagascar and Aldabra; post-breeding dispersal to c Africa,"Herons, Ibis, and Allies"
maphor1,Malabar Pied-Hornbill,Anthracoceros coronatus,Mixed forests of s India and Sri Lanka,Hornbills
mapkin1,Madagascar Pygmy-Kingfisher,Corythornis madagascariensis,,Kingfishers
mapphe1,Malayan Peacock-Pheasant,Polyplectron malacense,S Myanmar to s Thailand and Malay Peninsula,"Grouse, Quail, and Allies"
mappyt1,Maranhao-Piaui Pygmy-Tyrant (undescribed form),Myiornis [undescribed form],"eastern Brazil in eastern Pará, Maranhão, and Piauí","Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
maqcan1,Maquis Canastero,Asthenes heterura,Andes of w Bolivia (La Paz and Cochabamba),Ovenbirds
marbab1,Malaysian Rail-babbler,Eupetes macrocerus,,Rail-babbler
marbab2,Marsh Babbler,Pellorneum palustre,"NE India (Arunachal Pradesh to Cachar, Khasi, Chittagong Hills)",Ground Babblers and Allies
marcre1,Marañon Crescentchest,Melanopareia maranonica,Extreme s Ecuador (s Zamora-Chinchipe) and adj. n Peru,Crescentchests
marcro1,Mariana Crow,Corvus kubaryi,Mariana Islands (Rota and Guam). On verge of extinction,"Jays, Magpies, Crows, and Ravens"
mareag1,Martial Eagle,Polemaetus bellicosus,Savanna and thornbush of Africa south of the Sahara,"Vultures, Hawks, and Allies"
marfly1,Mariqua Flycatcher,Bradornis mariquensis,,Old World Flycatchers
marfro1,Marbled Frogmouth,Podargus ocellatus,,Frogmouths
marfro2,Marbled Frogmouth (Marbled),Podargus ocellatus [ocellatus Group],,Frogmouths
marfro3,Marbled Frogmouth (Plumed),Podargus ocellatus plumiferus,Coastal e Australia (se Queensland to ne New South Wales),Frogmouths
margod,Marbled Godwit,Limosa fedoa,,Shorebirds
margra1,Marsh Grassbird,Locustella pryeri,,Grassbirds and Allies
margrd1,Marquesas Ground Dove,Alopecoenas rubescens,Marquesas Islands (Hatutaa and Fatu Huku),Pigeons and Doves
margua1,Marail Guan,Penelope marail,,"Chachalacas, Guans, and Curassows"
marher1,Maranhao Hermit (unrecognized species),Phaethornis maranhaoensis [unrecognized species],east central Brazil (eastern Mato Grosso and Pará to Maranhão and Piauí),Hummingbirds
marhon1,Marbled Honeyeater,Pycnopygius cinereus,,Honeyeaters
marimp1,Marquesas Imperial-Pigeon,Ducula galeata,Nukuhiva I. (Marquesas Islands),Pigeons and Doves
markin2,Marquesas Kingfisher,Todiramphus godeffroyi,"S Marquesas Islands (Hivaoa, Tahuata and Fatuhiva)",Kingfishers
marmon2,Marquesas Monarch,Pomarea mendozae,,Monarch Flycatchers
marmur,Marbled Murrelet,Brachyramphus marmoratus,W Aleutian Islands and Alaska to central California,Alcids
marori1,Martinique Oriole,Icterus bonana,Semiarid hills of Martinique (Lesser Antilles),Blackbirds
marori2,Maroon Oriole,Oriolus traillii,,Old World Orioles
